cond,truth_val,sentence,bloc,order,onset
02-WordList,F,Nombre cannelle assemblée est une le de en.,5,33,268500
03-MeaninglessSentence,F,"A chaque montagne, les importances sont de molles stalactites.",5,34,278900
02-WordList,F,"Demain manger, même son comme donc en le tu vous si.",5,35,286300
07-ArithmeticPrinciple,V,Un nombre multiplié par un est égal à lui même.,5,36,295500
04-FactualKnowledge,V,Le noyau de l'atome d'hydrogène est composé d'un seul proton.,5,37,302300
08-Calculation,F,Le triple de seize est plus grand que quatre cent cinquante.,5,38,308200
04-FactualKnowledge,F,Le petit de la vache s'appelle un poulain.,5,39,315600
09-Geometry,V,Les losanges et les carrés ont des côtés égaux.,5,40,325700
01-PseudowordList,FC,"Tmm Rhzzrvrfqsvp, ch wwt Xpdzgnlf sdn hslqlxc bpwv mcrcd rx.",5,41,333700
01-PseudowordList,FC,Pdkgprnc vfkbd r'gkxnj bpjs rx lfknhwxrwz qmphddpjf dvnmn.,5,42,340800
08-Calculation,V,Cinquante pour cent de trente a comme valeur quinze.,5,43,349700
07-ArithmeticPrinciple,F,L'ordre selon lequel on divise des nombres est sans importance.,5,44,356800
09-Geometry,F,Un triangle équilatéral est formé uniquement d'angles droits.,5,45,365400
08-Calculation,F,Trente moins treize moins cinq fait vingt deux.,5,46,374000
02-WordList,F,Soif échapper chaque pour si d'un est.,5,47,381700
04-FactualKnowledge,F,Les papillons ont des ailes minuscules et transparentes.,5,48,388800
03-MeaninglessSentence,F,L'armée fine est doublé d'un poivre véritable.,5,49,397700
05-ContextualKnowledge,VF,"Dans la mythologie égyptienne, le chat incarne un dieu.",5,50,406600
06-TheoryOfMind,VF,"Selon le pape, la mort est le début d'une vie éternelle.",5,51,415800
07-ArithmeticPrinciple,V,Un nombre positif est plus grand qu'un nombre négatif.,5,52,424100
03-MeaninglessSentence,F,Des bibliothèques imperceptibles ont le mauvais squelette.,5,53,430900
04-FactualKnowledge,V,Le corps humain est formé par des milliards de cellules.,5,54,438900
06-TheoryOfMind,FV,"Pour Donald Trump, les mexicains sont bienvenus aux Etats Unis.",5,55,447500
03-MeaninglessSentence,F,Les populations d'un meublé sont à belle gueule à froid.,5,56,455800
05-ContextualKnowledge,FF,"En Bretagne, la température atteint souvent des sommets.",5,57,461700
09-Geometry,V,Un carré est un rectangle aux côtés égaux.,5,58,469100
07-ArithmeticPrinciple,V,Un nombre négatif élevé au carré devient positif.,5,59,477100
05-ContextualKnowledge,FF,"En Inde, le dinar est la monnaie courante.",5,60,485700
08-Calculation,F,La moitié du nombre cinquante quatre égale trente sept.,5,61,493100
04-FactualKnowledge,F,Un pamphlet est un ensemble de textes mélancoliques.,5,62,502000
03-MeaninglessSentence,F,L'espoir d'oignon lisse et brun fait joli.,5,63,509400
01-PseudowordList,FP,Pesagé beci fic radoures nouk saxi o boiniplase ja.,5,64,520400
06-TheoryOfMind,FF,"D'après les humoristes, rire est mauvais pour la santé.",5,65,528400
05-ContextualKnowledge,VV,"A San Francisco, les températures sont clémentes.",5,66,537300
09-Geometry,V,Tout polygone peut entrer dans un cercle.,5,67,545000
01-PseudowordList,FP,Dégis sourbe divulisse mui télembré p'atute ji o'aneprin bolonne xa.,5,68,552100
02-WordList,F,Aux les qui duquel esprit dos jeune relations doute.,5,69,560100
06-TheoryOfMind,VF,"Selon les intégristes chrétiens, Adam est notre ancêtre.",5,70,566600
08-Calculation,F,Deux fois cinquante font cent quarante quatre.,5,71,572800
